,PROCEDIMENTO,RN (alteração),VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
2957,"CITOMEGALOVÍRUS - QUALITATIVO, POR PCR (COM DIRETRIZ DE UTILIZAÇÃO)",,,,AMB,HCO,HSO,REF,PAC,14,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2958,DETECÇÃO/TIPAGEM HERPES VÍRUS 1 E 2 NO LÍQUOR,,,,AMB,HCO,HSO,REF,PAC,,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2959,FOCALIZAÇÃO ISOELÉTRICA DA TRANSFERRINA (COM DIRETRIZ DE UTILIZAÇÃO),,,,AMB,HCO,HSO,REF,PAC,120,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2960,HEPATITE B - TESTE QUANTITATIVO (COM DIRETRIZ DE UTILIZAÇÃO),,,,AMB,HCO,HSO,REF,PAC,28,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2961,HEPATITE C - GENOTIPAGEM (COM DIRETRIZ DE UTILIZAÇÃO),,,,AMB,HCO,HSO,REF,PAC,29,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2962,HEPATITE C (QUALITATIVO) POR PCR OU BDNA,,,,AMB,HCO,HSO,REF,PAC,,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2963,HEPATITE C (QUANTITATIVO) POR PCR OU BDNA,,,,AMB,HCO,HSO,REF,PAC,,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2964,"HIV - CARGA VIRAL POR PCR, NASBA OU BDNA",,,,AMB,HCO,HSO,REF,PAC,,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2965,HIV - QUALITATIVO POR PCR,,,,AMB,HCO,HSO,REF,PAC,,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2966,PROCEDIMENTO,"RN(alteração)",VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
2967,"HIV, GENOTIPAGEM (COM DIRETRIZ DE UTILIZAÇÃO)",,,,AMB,HCO,HSO,REF,PAC,31,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2968,"HLA B27, FENOTIPAGEM/GENOTIPAGEM (COM DIRETRIZ DE UTILIZAÇÃO)","465/2021625/2024","01/04/202123/12/2024",,AMB,HCO,HSO,REF,PAC,32,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2969,HPV - TIPAGEM POR PCR,,,,AMB,HCO,HSO,REF,PAC,,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2970,HPV (VÍRUS DO PAPILOMA HUMANO) - DETECÇÃO DO DNA POR TÉCNICAS DE HIBRIDIZAÇÃO,,,,AMB,HCO,HSO,REF,PAC,,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2971,"HTLV-I, POR PCR",,,,AMB,HCO,HSO,REF,PAC,,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2972,"MYCOBACTERIUM TUBERCULOSIS, DETECÇÃO POR PCR",,,,AMB,HCO,HSO,REF,PAC,,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2973,"MYCOBACTERIUM LEPRAE (BACILO DE HANSEN), DETECÇÃO DE RESISTÊNCIA A ANTIBIÓTICOS POR PCR",480/2022,02/07/2022,,AMB,HCO,HSO,REF,,,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2974,"MYCOBACTERIUM LEPRAE (BACILO DE HANSEN), PESQUISA PCR EM TEMPO REAL",480/2022,02/07/2022,,AMB,HCO,HSO,REF,,,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2975,PCR EM TEMPO REAL PARA INFLUENZA A E B (COM DIRETRIZ DE UTILIZAÇÃO),,,,AMB,HCO,HSO,REF,,129,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2976,PCR EM TEMPO REAL PARA VÍRUS SINCICIAL RESPIRATÓRIO (COM DIRETRIZ DE UTILIZAÇÃO),,,,AMB,HCO,HSO,REF,,131,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2977,"PROTEÍNA S TOTAL + LIVRE, DOSAGEM",,,,AMB,HCO,HSO,REF,PAC,,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2978,SARS-CoV-2 (CORONAVÍRUS COVID-19) - PESQUISA POR RT - PCR (COM DIRETRIZ DE UTILIZAÇÃO),,,,AMB,HCO,HSO,REF,,126,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2979,TESTE DE HIBRIDIZAÇÃO COM SONDA EM LINHA (LPA 1a LINHA) (COM DIRETRIZ DE UTILIZAÇÃO),619/2024,02/01/2025,,AMB,HCO,HSO,REF,,168,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2980,TESTE DE HIBRIDIZAÇÃO COM SONDA EM LINHA (LPA 2a LINHA) (COM DIRETRIZ DE UTILIZAÇÃO),619/2024,02/01/2025,,AMB,HCO,HSO,REF,,169,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2981,"TESTE PARA DETECÇÃO DO VÍRUS MONKEYPOX (MPXV) POR BIOLOGIA MOLECULAR(COM DIRETRIZ DE UTILIZAÇÃO",544/2022,21/09/2022,,AMB,HCO,HSO,REF,,157,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2982,TOXOPLASMOSE - PESQUISA EM LÍQUIDO AMINIÓTICO POR PCR (COM DIRETRIZ DE UTILIZAÇÃO),,,,AMB,HCO,HSO,REF,PAC,125,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2983,VÍRUS ZIKA - POR PCR (COM DIRETRIZ DE UTILIZAÇÃO),,,,AMB,HCO,HSO,REF,,111,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2984,TRANSFUSÃO AMBULATORIAL,,,,AMB,HCO,HSO,REF,,,TRANSFUSÃO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2985,TRANSFUSÃO HOSPITALAR,,,,AMB,HCO,HSO,REF,,,TRANSFUSÃO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2986,PROCEDIMENTO,"RN(alteração)",VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
2987,PLASMAFÉRESE TERAPÊUTICA - INCLUI CITAFÉRESE/HEMAFÉRESE TERAPÊUTICA,,,,AMB,HCO,HSO,REF,,,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2988,SANGRIA TERAPÊUTICA,,,,AMB,HCO,HSO,REF,,,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2989,SANGUE TOTAL RECONSTITUÍDO PARA EXSANGUÍNEO-TRANSFUSÃO,,,,AMB,HCO,HSO,REF,,,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2990,"UNIDADE DE COMPONENTES SANGÜÍNEOS (CONCENTRADO DE HEMÁCIAS, PLAQUETAS OU GRANULÓCITOS)IRRADIADA",,,,AMB,HCO,HSO,REF,,,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2991,UNIDADE DE CONCENTRADO DE GRANULÓCITOS,,,,AMB,HCO,HSO,REF,,,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2992,UNIDADE DE CONCENTRADO DE HEMÁCIAS,,,,AMB,HCO,HSO,REF,,,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2993,UNIDADE DE CONCENTRADO DE HEMÁCIAS LAVADAS,,,,AMB,HCO,HSO,REF,,,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2994,UNIDADE DE CONCENTRADO DE HEMÁCIAS LEUCODEPLETADA,,,,AMB,HCO,HSO,REF,,,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2995,UNIDADE DE CONCENTRADO DE HEMÁCIAS LEUCORREDUZIDA,,,,AMB,HCO,HSO,REF,,,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2996,UNIDADE DE CONCENTRADO DE PLAQUETAS (DUPLA CENTRIFUGAÇÃO),,,,AMB,HCO,HSO,REF,,,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2997,UNIDADE DE CONCENTRADO DE PLAQUETAS LEUCODEPLETADA,,,,AMB,HCO,HSO,REF,,,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2998,UNIDADE DE CONCENTRADO DE PLAQUETAS LEUCORREDUZIDA,,,,AMB,HCO,HSO,REF,,,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
2999,UNIDADE DE CONCENTRADO DE PLAQUETAS POR AFÉRESE,,,,AMB,HCO,HSO,REF,,,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3000,UNIDADE DE CRIOPRECIPITADO,,,,AMB,HCO,HSO,REF,,,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3001,UNIDADE DE PLASMA FRESCO CONGELADO,,,,AMB,HCO,HSO,REF,,,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3002,AFÉRESE TERAPÊUTICA,,,,AMB,HCO,HSO,REF,,,"EXAMES DE QUALIFICAÇÃO NO SANGUE DODOADOR OU PROVA PRÉ-TRANSFUSIONALNO SANGUE DO RECEPTOR",MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3003,ANTI-HIV I E II POR MÉTODO IMUNOENZIMÁTICO OU QUIMIOLUMINESCÊNCIA,,,,AMB,HCO,HSO,REF,,,"EXAMES DE QUALIFICAÇÃO NO SANGUE DODOADOR OU PROVA PRÉ-TRANSFUSIONALNO SANGUE DO RECEPTOR",MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3004,CONTAGEM DE CÉLULAS CD34 / CD45 POSITIVAS,,,,AMB,HCO,HSO,REF,PAC,,"EXAMES DE QUALIFICAÇÃO NO SANGUE DODOADOR OU PROVA PRÉ-TRANSFUSIONALNO SANGUE DO RECEPTOR",MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3005,"DETECÇÃO DE HEMOGLOBINAS ANORMAIS (INVESTIGAÇÃO DE HEMOGLOBINA S E DE OUTRASHEMOGLOBINAS ANORMAIS NO DOADOR DE SANGUE)",,,,AMB,HCO,HSO,REF,,,"EXAMES DE QUALIFICAÇÃO NO SANGUE DODOADOR OU PROVA PRÉ-TRANSFUSIONALNO SANGUE DO RECEPTOR",MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3006,,RN,,,,,,,,,,,
3007,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
3008,,(alteração),,,,,,,,,,,
3009,,,,,,EXAMES DE QUALIFICAÇÃO NO SANGUE DO,,,,,,,
3010,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
3011,"DETERMINAÇÃO DO FATOR RH (D), INCLUINDO PROVA PARA D-FRACO NO SANGUE DO RECEPTOR",AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3012,,,,,,,,TERAPÊUTICOS,,,,,
3013,,,,,,NO SANGUE DO RECEPTOR,,,,,,,
3014,,,,,,EXAMES DE QUALIFICAÇÃO NO SANGUE DO,,,,,,,
3015,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
3016,DOAÇÃO AUTÓLOGA COM RECUPERAÇÃO INTRA-OPERATÓRIA,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3017,DOAÇÃO AUTÓLOGA PERI-OPERATÓRIA POR HEMODILUIÇÃO NORMOVOLÊMICA,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3018,,,,,,NO SANGUE DO RECEPTOR,,,,,,,
3019,,,,,,EXAMES DE QUALIFICAÇÃO NO SANGUE DO,,,,,,,
3020,DOAÇÃO AUTÓLOGA PRÉ-OPERATÓRIA,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3021,DOAÇÃO DE COMPONENTES POR AFÉRESE,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3022,,,,,,NO SANGUE DO RECEPTOR,,,,,,,
3023,,,,,,EXAMES DE QUALIFICAÇÃO NO SANGUE DO,,,,,,,
3024,DOENÇA DE CHAGAS - TESTE IMUNOENZIMÁTICO DE ALTA SENSIBILIDADE E IMUNOFLUORESCÊNCIA,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3025,,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3026,RH(D) E PROVA DA ANTIGLOBULINA DIRETA),,,,,,,TERAPÊUTICOS,,,,,
3027,FENOTIPAGEM DE OUTROS SISTEMAS ERITROCITÁRIOS,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3028,,,,,,NO SANGUE DO RECEPTOR,,,,,,,
3029,,,,,,EXAMES DE QUALIFICAÇÃO NO SANGUE DO,,,,,,,
3030,FENOTIPAGEM DO SISTEMA RH-HR,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3031,"HEPATITE B - ANTI-HBC, POR MÉTODO IMUNOENZIMÁTICO OU POR QUIMIOLUMINESCÊNCIA",AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3032,,,,,,NO SANGUE DO RECEPTOR,,,,,,,
3033,,,,,,EXAMES DE QUALIFICAÇÃO NO SANGUE DO,,,,,,,
3034,"HEPATITE B - HBSAG, POR MÉTODO IMUNOENZIMÁTICO OU POR QUIMIOLUMINESCÊNCIA",AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3035,"HEPATITE C - ANTI-HCV, TESTE IMUNOENZIMÁTICO OU POR QUIMIOLUMINESCÊNCIA",AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3036,,,,,,NO SANGUE DO RECEPTOR,,,,,,,
3037,,,,,,EXAMES DE QUALIFICAÇÃO NO SANGUE DO,,,,,,,
3038,HTLV I E II - TESTE IMUNOENZIMÁTICO OU POR QUIMIOLUMINESCÊNCIA,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3039,,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3040,INCLUI TRATAMENTO ENZIMÁTICO (ELUIÇÃO E GEL),,,,,,,TERAPÊUTICOS,,,,,
3041,"(D), INCLUINDO PROVA PARA D-FRACO E PESQUISA E IDENTIFICAÇÃO DE ANTICORPOS SÉRICOS",AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3042,IRREGULARES ANTIERITROCITÁRIOS,,,,,NO SANGUE DO RECEPTOR,,,,,,,
3043,,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3044,QUE INCLUAM UMA FASE ANTIGLOBULÍNICA,,,,,,,TERAPÊUTICOS,,,,,
3045,PROCEDIMENTO,"RN(alteração)",VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
3046,PLAQUETAS - PROVA CRUZADA,,,,AMB,HCO,HSO,REF,,,"EXAMES DE QUALIFICAÇÃO NO SANGUE DODOADOR OU PROVA PRÉ-TRANSFUSIONALNO SANGUE DO RECEPTOR",MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3047,"PROVA DE COMPATIBILIDADE ENTRE AS HEMÁCIAS DO DOADOR E O SORO DO RECEPTOR (PROVA DECOMPATIBILIDADE MAIOR)",,,,AMB,HCO,HSO,REF,,,"EXAMES DE QUALIFICAÇÃO NO SANGUE DODOADOR OU PROVA PRÉ-TRANSFUSIONALNO SANGUE DO RECEPTOR",MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3048,PROVAS PRÉ-TRANSFUSIONAIS: RETIPIFICAÇÃO ABO E RH DA BOLSA DE SANGUE,,,,AMB,HCO,HSO,REF,,,"EXAMES DE QUALIFICAÇÃO NO SANGUE DODOADOR OU PROVA PRÉ-TRANSFUSIONALNO SANGUE DO RECEPTOR",MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3049,SÍFILIS - TESTE TREPONÊMICO OU NÃO-TREPONÊMICO,,,,AMB,HCO,HSO,REF,,,"EXAMES DE QUALIFICAÇÃO NO SANGUE DODOADOR OU PROVA PRÉ-TRANSFUSIONALNO SANGUE DO RECEPTOR",MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3050,TESTE DE COOMBS DIRETO E INDIRETO - INCLUI PESQUISA DE ANTICORPOS E COMPLEMENTO,,,,AMB,HCO,HSO,REF,,,"EXAMES DE QUALIFICAÇÃO NO SANGUE DODOADOR OU PROVA PRÉ-TRANSFUSIONALNO SANGUE DO RECEPTOR",MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3051,"TIPIFICAÇÃO ABO, INCLUINDO TIPAGEM REVERSA NO SANGUE DO RECEPTOR (SEM TIPAGEM REVERSA ATÉ 4MESES DE IDADE);",,,,AMB,HCO,HSO,REF,,,"EXAMES DE QUALIFICAÇÃO NO SANGUE DODOADOR OU PROVA PRÉ-TRANSFUSIONALNO SANGUE DO RECEPTOR",MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3052,"CITOMEGALOVÍRUS APÓS TRANSPLANTE DE RIM, MEDULA ÓSSEA OU FÍGADO POR REAÇÃO DE CADEIA DEPOLIMERASE (PCR) - PESQUISA QUANTITATIVA",546/2022,03/10/2022,,AMB,HCO,HSO,REF,PAC,,PROCEDIMENTOS,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3053,"VÍRUS EPSTEIN BARR APÓS TRANSPLANTE DE RIM OU FÍGADO POR REAÇÃO DE CADEIA DE POLIMERASE(PCR) - PESQUISA QUANTITATIVA",546/2022,03/10/2022,,AMB,HCO,HSO,REF,PAC,,PROCEDIMENTOS,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3054,EXSANGUÍNEO TRANSFUSÃO,,,,AMB,HCO,HSO,REF,,,PROCEDIMENTOS,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3055,TRANSFUSÃO FETAL INTRA-UTERINA,,,,,HCO,,REF,,,PROCEDIMENTOS,MEDICINA TRANSFUSIONAL,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3056,"CARIÓTIPO COM BANDAS, BIÓPSIA DE PELE OU OUTROS TECIDOS",,,,AMB,HCO,HSO,REF,,,CITOGENÉTICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3057,"CARIÓTIPO COM BANDAS, MATERIAL DE ABORTO OU NATIMORTO",,,,AMB,HCO,HSO,REF,,,CITOGENÉTICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3058,"CARIÓTIPO COM BANDAS, PARA DOENÇAS HEMATOLÓGICAS, SANGUE PERIFÉRICO, TECIDOS LINFÓIDES EMEDULA ÓSSEA",,,,AMB,HCO,HSO,REF,,,CITOGENÉTICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3059,"CARIÓTIPO COM BANDAS, SANGUE FETAL",,,,AMB,HCO,,REF,,,CITOGENÉTICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3060,"CARIÓTIPO COM BANDAS, SANGUE PERIFÉRICO",,,,AMB,HCO,HSO,REF,,,CITOGENÉTICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3061,"CARIÓTIPO COM BANDAS, VILOSIDADES CORIÔNICAS",,,,AMB,HCO,HSO,REF,,,CITOGENÉTICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3062,CARIÓTIPO COM PESQUISA DE TROCA DE CROMÁTIDES IRMÃS,,,,AMB,HCO,HSO,REF,,,CITOGENÉTICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3063,CARIÓTIPO COM TÉCNICAS DE ALTA RESOLUÇÃO (ESTUDO EM PROMETÁFASE),,,,AMB,HCO,HSO,REF,,,CITOGENÉTICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3064,"CARIÓTIPO PARA SÍNDROMES DE QUEBRAS CROMOSSÔMICAS, SANGUE PERIFÉRICO",,,,AMB,HCO,HSO,REF,,,CITOGENÉTICA,GENÉTICA,"PROCEDIMENTOS DIAGNÓSTICOS ETERAPÊUTICOS"
3065,,RN,,,,,,,,,,,
3066,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
3067,,(alteração),,,,,,,,,,,
3068,DETECÇÃO DE ANORMALIDADES DOS CROMOSSOMOS X OU Y (SANGUE PERIFÉRICO OU ESFREGAÇO DE,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
3069,,AMB,HCO,HSO,REF,CITOGENÉTICA,GENÉTICA,,,,,,
3070,"MUCOSA BUCAL), POR FISH",,,,,,,TERAPÊUTICOS,,,,,
3071,"ESTUDO CITOGENÉTICO PARA DOENÇAS NEOPLÁSICAS MALIGNAS, DIVERSOS MATERIAIS",AMB,HCO,HSO,REF,,,CITOGENÉTICA,GENÉTICA,,,,
3072,,,,,,,,,,TERAPÊUTICOS,,,
3073,ESTUDO DE ALTERAÇÕES CROMOSSÔMICAS EM LEUCEMIAS POR FISH (FLUORESCENCE IN SITU,,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,
3074,,AMB,HCO,HSO,REF,PAC,,CITOGENÉTICA,GENÉTICA,,,,
3075,HYBRIDIZATION),,,,,,,,,TERAPÊUTICOS,,,
3076,,,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,
3077,"LÍQUIDO AMNIÓTICO, CARIÓTIPO COM BANDAS",AMB,HCO,,REF,,,CITOGENÉTICA,GENÉTICA,,,,
3078,,,,,,,,,,TERAPÊUTICOS,,,
3079,PESQUISA DE MICRODELEÇÕES/MICRODUPLICAÇÕES POR FISH (FLUORESCENCE IN SITU HYBRIDIZATION) -,,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,
3080,,AMB,HCO,HSO,REF,PAC,110,CITOGENÉTICA,GENÉTICA,,,,
3081,COM DIRETRIZ DE UTILIZAÇÃO,,,,,,,,,TERAPÊUTICOS,,,
3082,,,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,
